City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
59,Bitung,ID,1/4/2020 21:21,1.44,125.19,73.4,100,40,1.16,scattered clouds,0,0
60,Krasnoobsk,RU,1/4/2020 21:21,54.92,82.99,26.6,79,90,17.9,overcast clouds,0,0
61,Selikhino,RU,1/4/2020 21:21,50.37,137.51,-12.77,99,100,5.01,overcast clouds,0,0
62,Ravar,IR,1/4/2020 21:21,31.27,56.81,44.65,94,100,7.34,overcast clouds,0,0
63,Saint-Pierre,FR,1/4/2020 21:21,48.95,4.24,44.6,87,90,6.93,overcast clouds,0,0
64,Severo-Kurilsk,RU,1/4/2020 21:21,50.68,156.12,14.34,73,100,3.11,overcast clouds,0,0
65,Barrow,AR,1/4/2020 21:21,-38.31,-60.23,77.27,55,75,18.05,broken clouds,0,0
66,Hermanus,ZA,1/4/2020 21:20,-34.42,19.24,64.99,89,5,14.25,clear sky,0,0
67,Kapaa,US,1/4/2020 21:21,22.08,-159.32,78.8,78,90,23.04,overcast clouds,0,0
68,Saint-Philippe,CA,1/4/2020 21:21,45.36,-73.48,33.01,86,90,9.17,light snow,0,0
69,Gweta,BW,1/4/2020 21:21,-20.21,25.26,76.26,65,100,11.92,overcast clouds,0,0
70,Ambatondrazaka,MG,1/4/2020 21:21,-17.82,48.43,64.67,96,100,2.98,overcast clouds,0,0
71,San Andres,PH,1/4/2020 21:21,13.32,122.68,74.68,82,90,13.67,light rain,0.13,0
72,Grand Gaube,MU,1/4/2020 21:21,-20.01,57.66,78.01,94,75,12.03,light intensity shower rain,0,0
73,Namatanai,PG,1/4/2020 21:21,-3.66,152.44,77.4,90,100,3.02,heavy intensity rain,15.19,0
74,Ketchikan,US,1/4/2020 21:18,55.34,-131.65,33.8,98,90,11.41,moderate rain,0,0
75,Tchollire,CM,1/4/2020 21:21,8.4,14.17,68.05,24,0,1.28,clear sky,0,0
76,Salta,AR,1/4/2020 21:21,-24.79,-65.41,86,83,40,5.82,shower rain,0,0
77,Coquimbo,CL,1/4/2020 21:21,-29.95,-71.34,64.4,77,40,11.41,scattered clouds,0,0
78,Bathsheba,BB,1/4/2020 21:21,13.22,-59.52,80.6,69,75,13.87,shower rain,0,0
