City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Saint-Pierre,FR,2020-01-04 00:15:51,48.95,4.24,43.0,93,90,12.75
71,Ahipara,NZ,2020-01-04 00:15:51,-35.17,173.16,62.67,73,98,20.33
72,Cihuatlan,MX,2020-01-04 00:15:51,19.24,-104.57,80.6,78,40,5.82
73,Tuktoyaktuk,CA,2020-01-04 00:15:11,69.44,-133.03,-20.2,75,40,12.75
74,Ostersund,SE,2020-01-04 00:15:13,63.18,14.64,30.2,80,40,26.4
75,Sao Jose Da Coroa Grande,BR,2020-01-04 00:15:52,-8.9,-35.15,79.7,80,17,13.69
76,Devonport,AU,2020-01-04 00:15:52,-41.18,146.36,71.01,70,92,3.0
77,Nikolskoye,RU,2020-01-04 00:15:52,59.7,30.79,41.0,75,75,11.18
78,Kaitangata,NZ,2020-01-04 00:15:53,-46.28,169.85,50.13,69,100,35.03
79,Lavrentiya,RU,2020-01-04 00:15:53,65.58,-170.99,-16.19,94,2,9.26
80,Karratha,AU,2020-01-04 00:15:53,-20.74,116.85,83.79,77,23,14.12
81,Norman Wells,CA,2020-01-04 00:14:35,65.28,-126.83,-18.4,75,20,6.93
82,Arraial Do Cabo,BR,2020-01-04 00:14:27,-22.97,-42.02,77.0,88,75,5.82
83,Privas,FR,2020-01-04 00:15:54,44.74,4.6,50.0,76,0,16.11
84,Flinders,AU,2020-01-04 00:12:01,-34.58,150.85,100.99,30,0,5.82
85,Faanui,PF,2020-01-04 00:15:55,-16.48,-151.75,81.64,79,68,12.41
86,Esperance,AU,2020-01-04 00:12:05,-33.86,121.89,60.8,59,75,9.17
87,East London,ZA,2020-01-04 00:14:07,-33.02,27.91,74.3,95,100,14.18
88,Rodney,CA,2020-01-04 00:15:56,42.57,-81.68,41.0,86,90,6.93
89,Pisco,PE,2020-01-04 00:15:56,-13.71,-76.2,71.6,30,40,19.46
90,Dikson,RU,2020-01-04 00:14:02,73.51,80.55,-7.37,94,46,15.5
91,Fortuna,US,2020-01-04 00:11:23,40.6,-124.16,60.01,58,1,13.87
92,Port Alfred,ZA,2020-01-04 00:15:57,-33.59,26.89,69.01,97,100,11.34
93,Kavieng,PG,2020-01-04 00:15:57,-2.57,150.8,84.94,69,100,4.21
94,Camacha,PT,2020-01-04 00:15:57,33.08,-16.33,64.4,67,20,9.17
95,Kodiak,US,2020-01-04 00:14:20,39.95,-94.76,39.2,69,40,8.05
96,Constitucion,MX,2020-01-04 00:15:58,23.99,-104.67,53.6,34,5,13.87
97,Havre,US,2020-01-04 00:15:58,48.55,-109.68,42.8,56,40,13.87
98,Khatanga,RU,2020-01-04 00:15:59,71.98,102.47,-3.77,98,100,5.06
99,Bredasdorp,ZA,2020-01-04 00:15:59,-34.53,20.04,68.0,68,11,2.24
100,Onguday,RU,2020-01-04 00:16:05,50.75,86.14,8.98,77,95,4.61
101,Kimbe,PG,2020-01-04 00:16:05,-5.56,150.15,80.92,83,100,1.68
102,Vanavara,RU,2020-01-04 00:16:06,60.35,102.28,21.52,95,100,8.81
103,Avarua,CK,2020-01-04 00:10:54,-21.21,-159.78,82.4,69,0,14.99
104,Cherskiy,RU,2020-01-04 00:15:11,68.75,161.3,1.65,66,33,10.76
105,Hermanus,ZA,2020-01-04 00:11:13,-34.42,19.24,66.0,87,2,1.99
106,Taoudenni,ML,2020-01-04 00:16:07,22.68,-3.98,56.25,26,93,11.56
107,Saint-Philippe,CA,2020-01-04 00:14:52,45.36,-73.48,41.0,93,90,6.53
108,Brae,GB,2020-01-04 00:16:07,60.4,-1.35,39.2,55,100,24.16
109,Upernavik,GL,2020-01-04 00:15:58,72.79,-56.15,-11.67,99,100,17.27
110,Mahebourg,MU,2020-01-04 00:14:33,-20.41,57.7,77.0,94,40,7.54
111,Bethel,US,2020-01-04 00:16:08,60.79,-161.76,-7.6,76,1,14.99
112,Narsaq,GL,2020-01-04 00:16:08,60.91,-46.05,33.8,34,100,40.26
113,Requena,ES,2020-01-04 00:16:08,39.49,-1.1,45.0,100,20,3.36
114,Burnie,AU,2020-01-04 00:16:09,-41.05,145.91,69.01,71,83,5.99
115,Half Moon Bay,US,2020-01-04 00:16:09,37.46,-122.43,64.0,67,20,3.36
116,Tevaitoa,PF,2020-01-04 00:16:09,-16.78,-151.5,81.41,79,47,12.19
117,Torbay,CA,2020-01-04 00:16:09,47.66,-52.73,32.0,80,75,27.51
118,Bluff,AU,2020-01-04 00:16:09,-23.58,149.07,78.69,56,54,11.7
119,Baykit,RU,2020-01-04 00:16:10,61.68,96.39,10.49,93,100,3.96
120,Xining,CN,2020-01-04 00:16:10,36.62,101.77,19.94,50,100,5.03
