City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Jonesboro,US,48.99,few clouds,35.84,-90.7,Hilton Garden Inn Jonesboro
271,Guerrero Negro,MX,71.6,clear sky,27.97,-114.04,The Halfway Inn
272,Copiapo,CL,69.8,scattered clouds,-27.37,-70.33,Antay Casino Hotel
273,Kahului,US,77,heavy intensity rain,20.89,-156.47,Maui Seaside Hotel
275,Xunchang,CN,47.05,broken clouds,28.45,104.71,Jiabin Inn
276,Jalu,LY,50.45,clear sky,29.03,21.55,Jalu Hotel
277,Kieta,PG,82.63,clear sky,-6.22,155.63,
279,Mahon,IE,46.99,light intensity drizzle,51.89,-8.4,The Montenotte Hotel
280,Huilong,CN,47.28,overcast clouds,31.15,106.5,Huilong Hostel
281,Khon Buri,TH,73.99,clear sky,14.52,102.25,บ้านแจ้ปัญญา
282,Port Hedland,AU,80.6,overcast clouds,-20.31,118.58,The Esplanade Hotel
283,Saint George,GR,43,overcast clouds,39.45,22.34,MX PARK KYPARISSOS
284,Sao Felix Do Xingu,BR,79.79,overcast clouds,-6.64,-51.99,Apart Hotel Rio Xingu
286,Kodiak,US,45,clear sky,39.95,-94.76,
287,Aguimes,ES,64.4,few clouds,27.91,-15.45,Hotel Villa de Aguimes
289,Naze,NG,77,smoke,5.43,7.07,Female Hostel C
290,Muros,ES,51.01,clear sky,42.77,-9.06,Apartment Av. Castelao
291,Miragoane,HT,80.98,clear sky,18.44,-73.09,Robsi Hotel
294,Njombe,TZ,59.79,overcast clouds,-9.34,34.77,Hillside Hotel Ltd
296,Nainpur,IN,54.05,clear sky,22.43,80.11,Railway Rest House
298,Teguise,ES,62.6,few clouds,29.06,-13.56,B&B La Casona de Nazaret
299,Dolores,UY,82.99,clear sky,-33.53,-58.22,Hostal Del Espinillo
300,Kuala Terengganu,MY,80.6,scattered clouds,5.33,103.14,Hotel Grand Continental
301,Namibe,AO,75.63,overcast clouds,-15.19,12.15,Chik-Chik Namibe
304,Tessalit,ML,55.83,scattered clouds,20.2,1.01,
306,Sabya,SA,82.4,broken clouds,17.15,42.62,Aseel Hotel Apartment
307,Kantang,TH,70.57,scattered clouds,7.42,99.52,Reng Ta Chai Boutique HomeStay
310,Rocha,UY,76.86,clear sky,-34.48,-54.34,Beleza Pura B&B
312,Dubti,ET,75.83,clear sky,11.74,41.09,
313,Cambrils,ES,53.01,clear sky,41.07,1.07,Hotel Sol Port Cambrils
315,Najran,SA,75.2,broken clouds,17.54,44.22,فندق حياة نجران
316,Inverell,AU,79,clear sky,-29.78,151.11,Sapphire City Motor Inn
317,Am Timan,TD,70.66,clear sky,11.04,20.28,
319,Constitucion,MX,57.2,clear sky,23.99,-104.67,Hotel Posada San Agustin
320,Luwuk,ID,81.61,moderate rain,-0.95,122.79,Hotel Santika Luwuk
321,Springs,ZA,64.4,thunderstorm with light rain,-26.24,28.43,Eastwoods Guest Lodge
325,Soyo,AO,77.9,light rain,-6.13,12.37,Hotel Mpampa
326,Dunedin,NZ,52,light rain,-45.87,170.5,Scenic Hotel Southern Cross
327,Itoman,JP,64.4,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
328,Meulaboh,ID,81.25,light rain,4.14,96.13,Kost Pria
329,Vilcun,CL,77,clear sky,-38.65,-72.23,"Rayen-Co, Rural Tourism"
330,Wewak,PG,75.49,moderate rain,-3.55,143.63,In Wewak Boutique Hotel
332,Cabra,ES,44.6,clear sky,37.47,-4.43,MS Fuente Las Piedras
334,Bridlington,GB,46.4,overcast clouds,54.08,-0.19,Expanse Bridlington Seafront Hotel
335,Sitka,US,59,clear sky,37.17,-99.65,
336,Yatou,CM,82.4,few clouds,3.63,9.81,Village Belart
337,Glendive,US,48.2,clear sky,47.11,-104.71,Super 8 by Wyndham Glendive
338,Grenfell,AU,79.02,clear sky,-33.9,148.16,Grenfell Royal Hotel
340,Ushirombo,TZ,65.62,light rain,-3.47,31.9,DM Hotel
344,Wanlaweyn,SO,76.57,clear sky,2.62,44.89,Haji Qasim Hotel
345,Cockburn Town,TC,82.4,scattered clouds,21.46,-71.14,Osprey Beach Hotel
348,Kutum,SD,54.39,clear sky,14.2,24.66,
350,Chulumani,BO,63.14,light rain,-16.41,-67.53,HOSTAL DION
351,Souillac,FR,41,clear sky,45.6,-0.6,Jolysable
352,Porto Novo,BR,68,broken clouds,-23.68,-45.44,Harmonia
354,Oranjemund,ZA,60.48,few clouds,-28.55,16.43,Sperrgebiet Guest House
357,Santa Vitoria Do Palmar,BR,74.25,few clouds,-33.52,-53.37,Hotel Brasil
360,Cerrito,CO,77,scattered clouds,6.84,-72.7,Finca Lulu
361,Angoche,MZ,74.46,moderate rain,-16.23,39.91,Guest House HESADA
362,Lydenburg,ZA,73.99,light rain,-25.1,30.46,The Palms Boutique Hotel
364,Nhulunbuy,AU,80.6,overcast clouds,-12.18,136.78,Gove Peninsula Motel
366,Cabo San Lucas,MX,79,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
368,Atar,MR,59.94,clear sky,20.52,-13.05,Oumou Elghoura
369,Russell,US,53.01,clear sky,38.9,-98.86,Quality Inn
370,Sawakin,SD,72.79,light rain,19.1,37.33,Arab Plaza Hotel عرب بلازا هوتيل
373,Talcahuano,CL,73.4,smoke,-36.72,-73.12,Hotel Terramar
374,Orodara,BF,69.8,dust,10.98,-4.92,Secteur 05 Orodara
375,Ulladulla,AU,66.99,overcast clouds,-35.36,150.48,Sandpiper Motel
376,Grand-Lahou,CI,82.35,clear sky,5.24,-5,Hotel Le Ravin Grand Lahou
377,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
378,Olavarria,AR,84.99,few clouds,-36.89,-60.32,Hotel Santa Rosa
379,Huarmey,PE,78.62,overcast clouds,-10.07,-78.15,Hotel Miramar
380,Guarapari,BR,79,broken clouds,-20.67,-40.5,Hotel Porto do Sol
383,Port Blair,IN,81.05,overcast clouds,11.67,92.75,Fortune Resort Bay Island
387,Takoradi,GH,80.17,clear sky,4.89,-1.75,Raybow International Hotel
388,Jacareacanga,BR,82.53,broken clouds,-6.22,-57.76,Casa do Ian😎
391,Empangeni,ZA,79.07,overcast clouds,-28.75,31.9,Peermont Metcourt Hotel at Umfolozi
392,Port Augusta,AU,55.99,overcast clouds,-32.49,137.76,Majestic Oasis Apartments
394,Sundargarh,IN,63.28,overcast clouds,22.12,84.04,Jagannath hotel
395,Bandarbeyla,SO,77.4,broken clouds,9.49,50.81,REER XOOSHLE GROUP
396,Maldonado,UY,77,few clouds,-34.91,-54.96,Joan Miro Hotel
398,Tagudin,PH,67.95,broken clouds,16.93,120.44,Tagudan Kubo Garden Hotel
399,Uaua,BR,73.71,moderate rain,-9.84,-39.48,Hotel Uauá
401,Canberra,AU,66.99,light rain,-35.3,149.1,Novotel - Canberra
402,Nouadhibou,MR,64.4,sand,20.93,-17.03,El Medina
404,Manadhoo,MV,81.93,broken clouds,5.77,73.38,seashine guest house
405,Segou,SN,75.2,haze,12.41,-12.29,Africa Cascade
406,Aketi,CD,72.63,overcast clouds,2.74,23.78,
408,Nieves,MX,53.65,clear sky,24,-103.02,
409,Moranbah,AU,71.76,overcast clouds,-22,148.04,Direct Hotels - Monterey Moranbah
412,Sayyan,YE,56.14,clear sky,15.17,44.32,الاستاذة مروى اليوسفي
413,Ouadda,CF,67.51,clear sky,8.07,22.4,
414,Carballo,ES,46,clear sky,43.21,-8.69,Pazo do Souto
416,Cayenne,GF,82.4,broken clouds,4.94,-52.33,Hôtel Le Dronmi
417,Pathein,MM,73.98,clear sky,16.78,94.73,Pathein Hotel
418,Quijingue,BR,84.27,overcast clouds,-10.75,-39.21,Feira De Santana
419,Puerto Varas,CL,62.6,broken clouds,-41.32,-72.98,Hotel Solace
421,Sabinas,MX,65.35,clear sky,27.85,-101.13,Gran Hotel Sabinas
422,Lazaro Cardenas,MX,57.2,clear sky,28.39,-105.62,Hotel Los Naranjos
423,Rafai,CF,73.89,overcast clouds,4.95,23.92,
424,Makakilo City,US,79,light rain,21.35,-158.09,Marriott's Ko Olina Beach Club
426,Ponta Delgada,PT,62.6,few clouds,37.73,-25.67,Vila Nova Hotel
428,Sabang,PH,79,scattered clouds,13.8,121.11,SM TRAVELODGE
429,Yaan,NG,75.11,scattered clouds,7.38,8.57,
432,Guadalupe Victoria,MX,73.4,broken clouds,21.68,-105.33,
433,Kwakoa,TZ,73.67,scattered clouds,-3.77,37.72,MJI Mwema Lodge
434,Lompoc,US,64.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
435,Jaguarao,BR,72,light rain,-32.57,-53.38,Hotel Rio's
436,Oxford,US,54,broken clouds,33.61,-85.83,Courtyard by Marriott Anniston Oxford
438,Myitkyina,MM,56.37,light rain,25.38,97.4,Shwe Phyu Hotel
441,Hervey Bay,AU,75.2,clear sky,-25.3,152.85,Shelly Bay Resort
443,Teknaf,BD,63.99,light rain,20.86,92.31,Magnum Engineering & Construction
447,Mana,NG,65.17,clear sky,13.03,5.27,RG Palace
448,Vallenar,CL,70.9,clear sky,-28.58,-70.76,Humacao Bed & Breakfast
449,Nzega,TZ,68.74,overcast clouds,-4.22,33.19,Trucks Parking
450,Medea,DZ,48.2,scattered clouds,36.27,2.77,Hôtel M'Sallah
452,Arlit,NE,59.49,clear sky,18.74,7.39,Hôtel Telwa Bungalow
453,Cap Malheureux,MU,78.01,light intensity shower rain,-19.98,57.61,Pereybere Hotel & Spa
454,Freeport,BS,80.6,broken clouds,26.54,-78.7,Castaways Resort & Suites
456,Salamiyah,SY,45.7,scattered clouds,35.01,37.05,Gondolas Forum grandchildren and grandparents
457,Tahlequah,US,50,clear sky,35.92,-94.97,Tahlequah Motor Lodge
458,Arroyo,BO,82.4,broken clouds,-11.08,-66.08,
459,Hofn,IS,45.07,broken clouds,64.25,-15.21,Hótel Höfn
460,Santa Lucia,IT,48.99,scattered clouds,41.98,12.66,B&B Torraccetto
462,Ongandjera,,69.71,moderate rain,-17.88,15.07,Onesto Guesthouse
463,Chara,GR,43,overcast clouds,39.42,22.43,
465,Tagusao,PH,73.83,broken clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
468,Hambantota,LK,79.03,clear sky,6.12,81.12,Bungalow 63
470,Luderitz,,62.53,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
472,Mount Isa,AU,80.6,overcast clouds,-20.73,139.49,ibis Styles Mt Isa Verona
474,Fernley,US,57.2,scattered clouds,39.61,-119.25,Super 8 by Wyndham Fernley
477,Livingstonia,MW,60.58,overcast clouds,-10.61,34.11,Stone House Guest House
481,Kudahuvadhoo,MV,82.18,clear sky,2.67,72.89,Kudahuvadhoo Retreat
482,Bubaque,GW,78.42,clear sky,11.28,-15.83,Casa Dora
486,Ejea De Los Caballeros,ES,46.4,clear sky,42.13,-1.14,Hotel Ciudad De Ejea
487,Kupang,ID,80.6,broken clouds,-10.16,123.6,Hotel On The Rock by Prasanthi
488,Sulangan,PH,80.06,few clouds,11.14,123.72,Maia's Beach Resort
489,Hun,BE,43,broken clouds,50.34,4.87,B&B La Ferme de l'Airbois
492,Aswan,EG,50,clear sky,24.09,32.9,Nuba Nile
496,Diego De Almagro,CL,78.64,clear sky,-26.39,-70.05,hotel luna del desierto
500,Lara,PE,59,broken clouds,-16.45,-71.53,BTH Hotel Arequipa Lake
502,Grafton,AU,73.99,clear sky,-29.69,152.93,Glenwood Tourist Park & Motel
504,Ziro,IN,41.52,light rain,27.54,93.82,Siiro Resort
506,Telafas,PH,65.26,clear sky,6.64,124.97,Telafas Columbio Sultan Kudarat
508,Yeppoon,AU,75.2,overcast clouds,-23.13,150.74,Villa Mar Colina
509,Tarancon,ES,44.01,clear sky,40.01,-3.01,hotel castilla
510,Port Lincoln,AU,58.98,light rain,-34.72,135.86,Port Lincoln Hotel
512,Lemon Tree Passage,AU,73.4,overcast clouds,-32.73,152.04,BIG4 Koala Shores Port Stephens Holiday Park
513,Vardo,US,52,light rain,39.62,-77.74,Holiday Inn Express & Suites Hagerstown
516,Aksum,ET,63,clear sky,14.12,38.72,Remhay Hotel
517,Broadford,AU,59,light rain,-37.2,145.05,Sugarloaf Motel
518,Conde,BR,80.78,overcast clouds,-11.81,-37.61,Pousada Ponta De Areia
520,Tual,ID,82.65,light rain,-5.67,132.75,Grand Vilia Hotel
521,Prachuap Khiri Khan,TH,76.42,scattered clouds,11.81,99.79,HadThong Hotel
522,Kouroussa,GN,68.52,broken clouds,10.65,-9.88,Hotel Tando Plus
524,Northam,AU,66.2,clear sky,-31.65,116.67,Northam Motel
525,Dongsheng,CN,45.39,overcast clouds,29.72,112.52,Xianghong Hotel
528,Yenagoa,NG,76.93,overcast clouds,4.92,6.26,Amba Hotels Limited
529,Mount Gambier,AU,57.2,overcast clouds,-37.83,140.78,Best Western Southgate Motel
530,Maunabo,PR,82.4,scattered clouds,18.01,-65.9,Maunacaribe
531,Banda Aceh,ID,71.83,clear sky,5.56,95.32,OYO 884 Rumoh PMI Hotel
